Projectile: 7Li; target: 116Sn; E = 22.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
31.73       0.99341     0.04603     
36.98       1.02070     0.04854     
42.22       0.98589     0.04978     
47.45       0.94732     0.05578     
52.65       0.95484     0.05676     
57.83       0.94826     0.06924     
63.00       0.93885     0.05921     
68.14       0.92944     0.06174     
73.25       0.91900     0.05899     
78.34       0.90129     0.05992     
83.41       0.89263     0.05778     
88.45       0.88567     0.05693     
93.46       0.85460     0.06076     
98.45       0.84275     0.06514     
103.41      0.83343     0.06724     
108.34      0.82058     0.06555     
113.25      0.80703     0.07240     
118.14      0.78473     0.07533     
123.00      0.77231     0.07819     
127.83      0.76250     0.06861     
132.65      0.67281     0.07911     
137.45      0.66375     0.06944     
142.22      0.65037     0.08315     
144.13      0.64955     0.09081     
146.98      0.63967     0.09240     
153.62      0.55822     0.09334     
163.07      0.53486     0.09562     
172.48      0.52840     0.09417 
