Projectile: 7Li; target: 11B; E = 18.3 MeV
http://dx.doi.org/10.11804/NuclPhysRev.30.02.117
Angle       R/s
18.79       0.5190      0.0101      
18.79       0.5130      0.0121      
22.04       0.3740      0.0123      
25.29       0.4080      0.0094      
28.53       0.4040      0.0117      
31.76       0.4880      0.0155      
34.99       0.4230      0.0135      
38.20       0.3360      0.0139      
41.40       0.2500      0.0113      
45.22       0.2160      0.0118      
48.39       0.2360      0.0172      
52.18       0.2740      0.0136      
55.31       0.2810      0.0129      
58.43       0.2630      0.0121      
61.53       0.1960      0.0123      
63.68       0.1650      0.0221      
64.60       0.1610      0.0123      
67.35       0.1280      0.0140      
70.39       0.1100      0.0118      
73.39       0.1160      0.0116      
76.37       0.1310      0.0145      
79.32       0.0850      0.0127      
82.82       0.0757      0.0191      
