Projectile: 7Li; target: 144Sm; E = 40.8 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
11.01       1.013       0.050       
13.85       0.953       0.049       
16.50       0.940       0.032       
24.44       0.879       0.050       
27.09       0.900       0.046       
29.53       0.943       0.046       
32.17       1.045       0.065       
34.79       1.022       0.038       
37.42       0.998       0.044       
39.81       0.884       0.038       
42.43       0.762       0.034       
44.89       0.609       0.033       
47.50       0.533       0.026       
50.08       0.472       0.030       
52.90       0.365       0.035       
55.48       0.287       0.011       
58.24       0.218       0.023       
60.81       0.159       0.022       
63.30       0.136       0.016       
65.87       0.104       0.007       
68.29       0.088       0.014       
70.84       0.071       0.004       
73.43       0.058       0.010       
75.97       0.043       0.003       
78.32       0.034       0.007       
80.86       0.026       0.003       
83.27       0.019       0.005       
85.80       0.017       0.003       
