Projectile: 7Li; target: 15N; E = 44 MeV
http://dx.doi.org/10.1103/PhysRevC.89.012801
Angle       C/s
10.3        7.82e+03    8.01e+02    
11.7        3.10e+03    3.01e+02    
13.2        1.07e+03    1.11e+02    
14.7        7.60e+02    6.51e+01    
16.1        6.36e+02    5.40e+01    
17.6        5.38e+02    4.63e+01    
19.0        4.23e+02    3.84e+01    
20.5        2.18e+02    1.86e+01    
22.0        8.34e+01    7.88e+00    
23.4        2.61e+01    2.24e+00    
25.0        1.67e+01    1.57e+00    
26.3        3.16e+01    2.92e+00    
27.8        4.52e+01    4.21e+00    
29.2        3.85e+01    3.64e+00    
30.6        2.91e+01    2.77e+00    
32.1        1.91e+01    1.79e+00    
33.5        7.65e+00    7.28e-01    
35.0        2.18e+00    2.83e-01    
36.4        1.41e+00    2.17e-01    
37.9        2.85e+00    3.52e-01    
39.3        3.79e+00    4.32e-01    
40.7        4.14e+00    4.64e-01    
42.1        3.54e+00    3.89e-01    
43.5        2.58e+00    3.16e-01    
44.9        1.48e+00    2.09e-01    
