Projectile: 7Li; target: 208Pb; E = 27.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.021601
Angle       R/s
41.24       1.001       5.455e-03   
46.36       1.002       6.503e-03   
78.68       1.          6.596e-03   
82.7        0.995       6.684e-03   
87.72       0.989       6.583e-03   
90.73       0.99        6.539e-03   
95.72       0.992       6.991e-03   
105.67      0.988       9.301e-03   
110.63      0.983       1.e-02      
115.56      0.976       1.1e-02     
120.49      0.971       4.537e-03   
125.4       0.958       4.537e-03   
127.36      0.943       1.e-02      
130.3       0.946       9.327e-03   
135.19      0.934       1.e-02      
144.94      0.918       1.2e-02     
149.8       0.904       1.2e-02     
154.65      0.877       1.8e-02     
159.5       0.879       9.119e-03   
