Projectile: 7Li; target: 208Pb; E = 29.0 MeV
http://dx.doi.org/10.1016/0375-9474(94)90064-7
Angle       R/s
36.8        0.989       0.024       
38.8        1.007       0.018       
40.6        0.998       0.011       
42.1        1.001       0.015       
43.6        0.995       0.018       
45.9        1.001       0.017       
47.7        0.989       0.011       
49.6        1.007       0.015       
52.6        0.998       0.015       
58.6        0.992       0.006       
62.7        0.984       0.027       
63.5        0.989       0.025       
65.7        0.989       0.011       
66.8        0.975       0.015       
69.5        0.992       0.028       
72.2        1.025       0.018       
72.9        1.007       0.018       
74.4        1.028       0.018       
75.8        0.957       0.022       
77.         0.98        0.03        
78.5        0.972       0.014       
80.         0.972       0.019       
81.8        0.975       0.019       
84.1        0.984       0.017       
85.6        0.948       0.017       
88.2        0.975       0.011       
89.         0.97        0.03        
90.1        0.998       0.027       
91.3        1.016       0.028       
92.7        0.972       0.024       
95.4        0.984       0.027       
97.2        0.946       0.018       
97.3        1.02        0.03        
99.8        0.94        0.04        
100.        1.03        0.04        
100.4       1.04        0.04        
102.5       0.966       0.021       
103.3       1.007       0.008       
103.6       0.95        0.05        
104.8       1.01        0.06        
106.7       1.          0.04        
107.        0.99        0.05        
108.9       1.001       0.025       
110.4       1.          0.03        
111.6       1.02        0.04        
112.3       1.004       0.017       
113.        0.97        0.05        
115.        1.04        0.03        
116.        0.951       0.03        
117.8       0.91        0.04        
119.7       0.95        0.05        
122.4       1.007       0.024       
124.2       0.92        0.04        
126.6       1.001       0.03        
130.2       0.93        0.04        
131.1       0.84        0.06        
133.        0.86        0.03        
134.5       0.81        0.07        
136.2       0.73        0.09        
138.2       0.82        0.05        
140.        0.76        0.06        
142.6       0.75        0.05        
144.4       0.74        0.05        
145.4       0.66        0.04        
146.        0.76        0.04        
148.1       0.67        0.04        
149.3       0.73        0.05        
151.1       0.67        0.027       
152.9       0.635       0.027       
154.5       0.68        0.04        
157.        0.62        0.04        
158.2       0.68        0.05        
159.9       0.58        0.04        
162.9       0.59        0.04        
164.3       0.51        0.05        
166.2       0.524       0.03        
167.4       0.58        0.04        
168.8       0.53        0.09        
171.1       0.54        0.04        
173.        0.56        0.04        
