Projectile: 7Li; target: 27Al; E = 16.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
4.99        0.988       0.02        
10.06       1.001       0.016       
12.4        0.999       0.018       
14.99       1.002       0.027       
17.53       0.993       0.036       
19.44       1.          0.041       
22.57       1.002       0.048       
24.9        0.861       0.06        
27.46       0.764       0.073       
30.25       0.728       0.061       
32.13       0.709       0.047       
35.22       0.578       0.068       
37.52       0.573       0.065       
40.04       0.414       0.072       
42.7        0.272       0.083       
44.55       0.217       0.047       
