Projectile: 7Li; target: 28Si; E = 8.0 MeV
http://dx.doi.org/10.1103/PhysRevC.69.054602
Angle       R/s
33.517      1.01635     0.00236     
37.181      0.96808     0.00292     
43.244      0.98431     0.00488     
49.247      0.97646     0.00616     
55.182      1.01361     0.00703     
61.041      1.0169      0.01051     
66.817      1.02035     0.01455     
72.504      1.01957     0.01652     
78.096      0.96433     0.0201      
83.587      1.04171     0.02703     
88.974      0.95661     0.03        
99.421      0.9647      0.0372      
104.478     1.01133     0.04172     
109.421     0.97888     0.04085     
114.253     0.90701     0.03931     
118.974     0.93027     0.04459     
123.587     0.83452     0.04236     
128.096     0.84127     0.0397      
132.504     0.78704     0.04673     
132.504     0.8298      0.06013     
136.817     0.80504     0.0393      
141.041     0.80018     0.04915     
145.182     0.79208     0.03316     
