Projectile: 7Li; target: 65Cu; E = 25.0 MeV
http://dx.doi.org/10.1016/j.physletb.2005.12.060
Angle       R/s
15.33       0.9659      0.0019      
18.03       0.9786      0.0023      
20.79       1.0182      0.0023      
23.54       1.1204      0.0026      
26.29       1.1306      0.0026      
26.35       1.1373      0.0046      
29.04       1.1134      0.0046      
31.77       0.9952      0.0039      
34.51       0.8662      0.0034      
37.23       0.7376      0.0031      
37.29       0.7626      0.0072      
39.96       0.6445      0.0065      
42.67       0.5219      0.0049      
45.38       0.4271      0.0039      
48.08       0.3413      0.0034      
50.77       0.2792      0.0027      
61.44       0.1162      0.0018      
71.96       0.0548      0.0016      
82.31       0.0231      0.0007      
92.47       0.0089      0.0004      
102.45      0.0059      0.0004      
