Projectile: 8Li; target: 12C; E = 14.0 MeV
http://dx.doi.org/10.1103/PhysRevC.48.308
Angle       R/s
2.043e+01   7.298e-01   5.263e-02   
2.548e+01   6.927e-01   1.035e-01   
2.919e+01   4.952e-01   7.400e-02   
3.425e+01   4.384e-01   6.551e-02   
3.793e+01   4.141e-01   9.621e-02   
3.934e+01   3.042e-01   5.784e-02   
4.164e+01   3.066e-01   5.830e-02   
4.579e+01   2.613e-01   4.969e-02   
5.084e+01   2.480e-01   4.716e-02   
5.455e+01   1.773e-01   1.952e-02   
5.867e+01   1.928e-01   3.667e-02   
6.234e+01   2.022e-01   5.580e-02   
6.651e+01   1.398e-01   5.824e-02   
7.112e+01   1.153e-01   5.979e-02   
7.526e+01   1.053e-01   9.181e-02   
7.757e+01   9.905e-02   4.125e-02   
8.906e+01   8.076e-02   3.768e-02   
