Projectile: 8Li; target: 9Be; E = 23.8 MeV
http://dx.doi.org/10.1140/epja/s10050-023-00959-z
Angle       R/s
27.852      0.369       0.034       
29.744      0.367       0.033       
32.063      0.301       0.027       
34.107      0.292       0.039       
36.142      0.303       0.036       
37.998      0.279       0.033       
42.050      0.274       0.030       
45.891      0.220       0.028       
49.579      0.141       0.027       
68.116      0.043       0.014       
71.946      0.090       0.035       
73.703      0.092       0.046       
75.579      0.140       0.082       
77.331      0.091       0.030       
79.105      0.069       0.035       
80.991      0.119       0.069       
