Projectile: 8Li; target: d; E = 25.2 MeV
http://dx.doi.org/10.1103/PhysRevC.84.064616
Angle       R/s
61.2114     0.92243817  0.456555    
68.649      1.681067    0.445978    
76.1789     3.2840867   0.456477    
83.7782     6.523062    0.547805    
91.4305     9.9175426   0.585866    
99.1237     12.44269    0.576589    
106.849     14.691516   0.575703    
114.6       16.255976   0.574576    
122.371     15.456425   0.538356    
130.158     15.435451   0.6028      
137.958     12.635579   0.647883    
145.767     8.1061422   0.519688    
