Projectile: 9Be; target: 12C; E = 21.0 MeV
https://doi.org/10.1016/j.nuclphysa.2011.02.005
Angle       R/s
17.49       0.851       0.043       
20.98       0.518       0.026       
24.47       0.416       0.021       
27.95       0.419       0.022       
31.42       0.344       0.019       
34.88       0.236       0.013       
34.88       0.237       0.012       
38.34       0.200       0.010       
41.79       0.195       0.010       
45.22       0.202       0.010       
48.65       0.150       0.008       
52.06       0.087       0.005       
52.06       0.089       0.004       
55.45       0.061       0.003       
58.83       0.087       0.004       
62.20       0.119       0.006       
65.54       0.118       0.006       
68.86       0.092       0.005       
68.86       0.089       0.004       
72.17       0.055       0.003       
75.45       0.037       0.002       
78.70       0.033       0.002       
81.93       0.036       0.002       
85.12       0.037       0.002       
85.12       0.037       0.002       
88.29       0.037       0.002       
91.42       0.040       0.002       
94.51       0.048       0.003       
97.56       0.047       0.003       
100.57      0.049       0.003       
100.57      0.048       0.003       
103.54      0.044       0.002       
106.45      0.060       0.003       
109.32      0.078       0.004       
112.13      0.087       0.005       
114.89      0.091       0.003       
117.58      0.077       0.004       
120.21      0.080       0.005       
125.27      0.126       0.007       
