Projectile: d; target: 12C; E = 15.8 MeV
https://doi.org/10.1016/0029-5582(66)90544-X
Angle       C/s
11.5        2650.       
14.4        1630.       
17.3        1100.       
20.1        724.        
23.0        431.        
25.8        256.        
28.7        128.        
31.5        46.8        
34.3        14.9        
37.1        3.28        
39.9        4.42        
42.7        9.55        
45.6        16.1        
51.1        18.8        
53.8        17.2        
56.6        14.1        
59.4        10.9        
62.1        8.05        
67.5        5.92        
72.9        6.37        
78.2        7.7         
80.8        8.23        
83.4        7.82        
86.0        7.2         
88.6        5.82        
91.2        5.08        
93.7        4.04        
96.2        2.83        
98.7        2.07        
103.7       1.5         
107.6       1.65        
118.2       3.52        
122.9       4.66        
127.5       4.8         
132.1       5.26        
136.6       4.48        
141.1       3.39        
145.6       2.68        
147.8       2.15        
150.0       1.7         
152.2       1.4         
154.3       1.23        
156.5       1.31        
158.6       1.5         
160.8       1.99        
