Projectile: d; target: 13C; E = 13.7 MeV
https://doi.org/10.1016/0375-9474(70)90889-4
Angle       R/s
11.741      1.0815      
23.477      3.0913      
34.570      0.50738     
40.356      0.17656     
46.223      1.0070      
54.659      2.7112      
56.891      3.2515      
68.403      3.4430      
78.715      2.2884      
89.607      1.7525      
99.367      1.1416      
104.30      1.1632      
108.82      2.1336      
118.97      7.9404      
127.86      14.253      
137.19      15.727      
146.45      12.549      
155.16      9.8134      
164.54      13.810      
172.29      20.248      
