Projectile: d; target: 16O; E = 12 MeV
https://doi.org/10.1016/0375-9474(67)90519-2
Angle       R/s
19.155      1.0078      0.70585e-01 
22.211      1.1338      0.47805e-01 
27.719      0.89875                 
33.463      0.33013                 
39.327      0.13464                 
44.656      0.40326                 
50.395      1.1359                  
55.817      1.7077                  
61.011      1.9224                  
66.912      1.6009                  
72.042      1.0681                  
77.477      0.53693                 
83.276      0.35609                 
87.812      0.36996                 
92.727      0.45670                 
98.270      0.75304                 
102.90      1.0643                  
108.23      1.1981                  
112.88      1.4079                  
117.52      1.8711                  
122.30      2.3097                  
127.23      2.4750                  
135.76      2.8060                  
140.84      2.6915                  
144.71      2.9010                  
149.77      3.2656                  
153.89      3.7205                  
159.08      4.3995                  
