Projectile: d; target: 7Li; E = 12 MeV
https://doi.org/10.1016/0375-9474(71)90344-7
Angle       C/s
25.1        612.4       
29.0        417.6       
32.0        273.0       
36.7        178.4       
37.5        82.99       
44.5        19.55       
50.7        6.752       
55.9        12.77       
62.7        19.53       
68.0        20.37       
73.4        14.49       
80.2        10.76       
85.6        8.696       
90.2        6.456       
94.7        5.929       
100.0       6.733       
105.3       8.325       
110.6       9.657       
115.2       9.862       
117.4       11.69       
125.0       11.68       
128.1       11.68       
134.2       11.19       
138.7       11.19       
143.3       9.436       
144.8       9.237       
149.4       9.842       
153.9       10.27       
158.5       12.69       
161.5       15.70       
164.5       18.21       
169.8       22.05       
172.8       25.04       
